customerid,age,gender,citytier,annualincome,occupation,creditscore,avgmonthlyspend,savingsrate,investmentamountlastyear,pastinvestments,riskflags,familysize,numchildren,numelders,numadults
1,44.0,M,1,5857968.839819389,Salaried,800.1850225273092,43574.714813137034,0.0955209471917665,2000000.0,Insurance,2.0,6+,0.0,0.0,6.0
2,47.0,M,3,1856180.564756264,Salaried,721.0,10000.0,0.3842159984869035,684649.9474193673,MF_Stocks,2.0,3,0.0,0.0,2.0
3,47.31157190869292,F,2,1204399.0103455666,Self-employed,565.8363972805649,10000.0,0.5,213507.30062002552,None,3.0,4,0.0,0.0,2.0
4,53.0,M,2,1911202.5987439677,Salaried,538.122864565603,58069.90063838083,0.36455200107582364,1077584.5353724454,Stocks,1.0,4,0.0,0.0,4.0
5,36.0,F,1,1422067.5272947196,Salaried,746.0,10000.0,0.07969030812891906,226286.1246014722,Stocks,1.0,5,2.0,0.0,1.0
6,35.0,M,2,4064517.6464979094,Salaried,708.0,10000.0,0.2815363188218514,147150.07989236523,Stocks,0.0,2,0.0,2.0,1.0
7,37.0,F,1,868091.5211642457,Salaried,641.9758171087284,10000.0,0.5,146037.26470237304,None,1.0,6+,0.0,0.0,4.0
8,33.0,M,2,1904183.0053567498,Salaried,695.0,15465.514183965062,0.33162882556936146,55538.4599259374,MF_Stocks,0.0,2,1.0,0.0,2.0
9,45.0,F,1,1182702.135586828,Salaried,552.0259348832283,10000.0,0.05993156529879703,135101.47088659115,MF_Stocks,2.0,3,0.0,0.0,2.0
10,41.0,M,2,861679.923627914,Salaried,650.0,10000.0,0.1560939084400061,3317.802182757221,MF,2.0,3,2.0,0.0,3.0
11,58.01551381846864,M,3,2689790.3101040074,Salaried,695.4462808876506,10000.0,0.2214889178256333,122068.57705091235,MF_Stocks,4.0,3,0.0,0.0,3.0
12,35.0,M,2,512369.44505102356,Salaried,684.5679965708156,18310.248532761376,0.40240261669240607,253785.3530451051,None,0.0,4,0.0,0.0,2.0
13,52.0,F,3,2622326.7788505415,Salaried,531.9919707508219,10000.0,0.5,42699.71205842107,Insurance,3.0,3,2.0,0.0,2.0
14,46.0,F,2,1146123.226510226,Salaried,657.0,10000.0,0.11658572520361525,188314.8301514422,Stocks,4.0,5,1.0,0.0,5.0
15,39.0,M,2,1368265.7914432099,Salaried,812.0,65593.79697189122,0.43371446775064326,2000000.0,None,1.0,2,1.0,0.0,2.0
16,33.0,F,2,553440.4473064797,Business,610.0,10000.0,0.12774060867471607,222818.73419677047,None,1.0,1,0.0,0.0,1.0
17,37.0,F,2,1333710.9768101214,Salaried,406.5847873556435,10000.0,0.1812002919705445,134902.2646753094,Insurance,4.0,1,0.0,0.0,1.0
18,29.0,F,2,1558863.8477365132,Salaried,562.0,10000.0,0.46318652449850095,184369.5836437779,None,3.0,4,1.0,0.0,4.0
19,33.0,F,1,725606.9012515207,Self-employed,665.0,10000.0,0.5,26623.25130728492,Insurance,3.0,3,4.0,0.0,1.0
20,45.0,M,1,1321792.2497732348,Salaried,650.0,10000.0,0.41024663598575334,42031.6839532219,Insurance,1.0,2,0.0,0.0,2.0
21,34.0,M,2,1077371.5183364132,Self-employed,673.0,10000.0,0.28941177000486834,220286.07123851453,Stocks,3.0,3,1.0,0.0,2.0
22,38.0,M,1,3960073.457338687,Salaried,714.0,16612.1845303637,0.15711682967880952,1503770.8585734656,None,1.0,5,0.0,0.0,5.0
23,46.0,M,1,1709915.6234775153,Salaried,668.0,10000.0,0.16260577503753854,350041.56193089514,MF_Stocks,2.0,3,0.0,0.0,3.0
24,39.0,F,1,741451.7166849105,Salaried,800.0,21088.004626644615,0.2927308032662984,111329.55413347158,Insurance,1.0,2,0.0,2.0,1.0
25,28.0,F,2,1655564.0441135208,Self-employed,850.0,10000.0,0.5,268922.61894943216,MF_Stocks,1.0,4,0.0,0.0,4.0
26,48.0,F,2,2242061.6413153987,Salaried,703.0,15307.157271115104,0.20119305914834856,51758.09124013443,Stocks,1.0,1,0.0,0.0,1.0
27,44.0,M,2,729052.6052294276,Salaried,744.0,10000.0,0.10764357840040291,2000000.0,Stocks,3.0,4,0.0,0.0,5.0
28,43.0,M,2,1956659.6931142057,Self-employed,732.237055395952,44150.04200093921,0.18125286142558977,386151.1995322613,None,0.0,1,0.0,0.0,1.0
29,41.0,M,3,1581785.4565521863,Salaried,576.8951189312091,10000.0,0.16387065227046435,834129.40295698,Stocks,0.0,5,0.0,0.0,3.0
30,43.0,F,3,1413312.09147198,Salaried,710.8868634810402,25491.623565924165,0.3880428029719795,2000000.0,Stocks,3.0,4,1.0,0.0,4.0
31,32.0,M,2,984765.4666555348,Self-employed,663.0,10000.0,0.44408021015075655,85035.10723680878,MF,2.0,1,1.0,0.0,1.0
32,40.0,M,3,868036.7195915604,Business,655.0,10000.0,0.5,77172.26066917446,Insurance,1.0,4,0.0,0.0,2.0
