customerid,age,gender,citytier,annualincome,occupation,creditscore,avgmonthlyspend,savingsrate,investmentamountlastyear,pastinvestments,riskflags
1,40.0,M,3,1874220.7100496546,Self-employed,770.5762038465326,10000.0,0.5,337563.0236237909,Stocks,4.0
2,53.0,M,2,651830.1567057513,Self-employed,838.8869725034396,10000.0,0.05,45865.4425531735,MF_Stocks,3.0
3,45.0,M,3,385175.0642054009,Salaried,699.1742191428841,10000.0,0.5,125753.82692714609,None,1.0
4,54.47772226654097,F,1,3262552.247487906,Salaried,705.0,10000.0,0.19957796649022627,2000000.0,MF_Stocks,1.0
5,33.0,F,2,969375.6463843812,Salaried,721.0,10000.0,0.4315414357734993,787377.9413682483,MF_Stocks,4.0
6,54.0,F,2,2590683.4399222406,Self-employed,691.0,42725.103309576,0.5,352222.0085224931,Insurance,2.0
7,33.655562176203546,F,2,560202.0407642679,Salaried,782.0,10000.0,0.5,213956.10592794357,MF_Stocks,3.0
8,45.0,F,1,1773440.7651759533,Self-employed,827.0,10000.0,0.47577761547727354,533589.5302097751,None,1.0
9,47.0,F,2,1048383.7694625448,Self-employed,631.2548326668693,10000.0,0.28541623566667534,332353.1494764348,MF,1.0
10,41.0,M,2,5023031.86709289,Business,756.0,17624.824319047653,0.07572757598440336,248665.75313479346,MF,1.0
11,35.0,M,3,2940176.090453733,Salaried,678.0,10000.0,0.42621968136486127,259939.0422380619,Stocks,1.0
12,53.0,M,1,1193646.8349165565,Salaried,563.1933755134239,10000.0,0.24841489045868845,870.6551265496408,Insurance,3.0
13,31.0,M,2,2306240.728726486,Business,783.8347708858296,10000.0,0.5,588770.3291073145,Stocks,2.0
14,54.0,M,1,1089567.3831576852,Self-employed,724.0,10000.0,0.39515470633720085,417513.48866804806,Insurance,2.0
15,46.0,M,1,2607567.411990864,Self-employed,583.0,72568.37521026917,0.22939015916734354,808397.1105487304,Insurance,4.0
16,39.0,M,3,543606.4840576515,Business,828.3773196415569,31827.49236986426,0.5,33275.27020805202,MF_Stocks,3.0
17,55.0,M,2,2005125.5466404103,Salaried,755.0,10000.0,0.2595334471560692,110002.49091754711,Insurance,4.0
18,50.0,F,2,582920.0387612958,Salaried,773.0,10000.0,0.5,169115.0270727583,None,3.0
19,53.0,F,2,1117440.4947329508,Self-employed,676.0,10000.0,0.5,50525.48416710287,MF,1.0
20,30.0,F,3,981661.8055312108,Self-employed,850.0,10000.0,0.3087572794448729,102775.27540493266,Insurance,4.0
21,35.0,F,2,908725.3755134803,Self-employed,760.0,20685.11177604258,0.28551601444669983,386882.2485973153,MF,3.0
22,38.0,M,2,1353892.6110910475,Salaried,689.0,10000.0,0.5,325362.34038915584,Insurance,0.0
23,29.0,M,2,1530350.0257527076,Salaried,850.0,10000.0,0.3487690367570956,726267.9146035768,None,4.0
24,40.0,M,3,1173731.873294142,Salaried,789.0351501243044,10000.0,0.5,146361.51292209138,MF_Stocks,2.0
25,52.0,M,2,2346458.47112662,Self-employed,570.0,51879.74391286636,0.2529699209410619,1371648.0425878186,MF,1.0
26,28.0,M,2,747418.5788876701,Salaried,802.6940557613625,10000.0,0.36459444929906226,191690.87670320267,MF_Stocks,3.0
27,51.0,F,3,3202312.220099339,Salaried,761.6177827957118,10000.0,0.2313680839585136,2000000.0,None,2.0
28,48.40959061661063,O,1,2215979.4135075468,Self-employed,744.0,23409.332812131383,0.4230052925266672,2000000.0,MF_Stocks,2.0
29,50.0,M,3,1804384.356120086,Salaried,798.0,30498.116126976012,0.23657064143828785,690.531047538974,None,2.0
30,43.0,F,1,841549.8140827742,Salaried,693.2076987911888,17250.742092236604,0.336432880639154,353520.19021345355,None,2.0
31,41.0,M,3,681825.3115916426,Self-employed,776.0,10000.0,0.15841719401893373,416475.29263551475,None,2.0
32,33.0,M,2,1413629.0691449232,Self-employed,558.9871392969366,22631.11046894971,0.15227911524923213,362939.9890108343,None,0.0
33,44.0,M,2,1879885.976396937,Self-employed,784.0,10000.0,0.27336137364744373,366978.180200145,MF,1.0
34,31.0,M,3,930514.3634264715,Salaried,630.0,10000.0,0.5,247676.67289269413,Stocks,2.0
35,49.0,M,2,2133401.8064347985,Self-employed,703.0,16653.360694093248,0.25338055318940506,211282.00076995773,MF_Stocks,1.0
36,36.0,M,3,461287.4507667612,Self-employed,754.6633973239697,10000.0,0.1346020926057298,78561.34955233692,Stocks,1.0
37,32.0,F,1,1996563.7652506256,Self-employed,850.0,31402.630067434675,0.5,864200.0506759938,MF_Stocks,0.0
38,49.0,F,3,1850301.7486261362,Salaried,665.0,10000.0,0.11327537866072532,635044.2041602118,Stocks,0.0
39,32.0,F,2,412263.3746802339,Business,682.0,10000.0,0.5,51691.05848792651,Stocks,1.0
40,33.45043431759885,M,2,1065740.7413608807,Salaried,714.0,10000.0,0.5,58573.389788245586,Insurance,1.0
41,50.0,O,2,1425871.3967570693,Salaried,774.0,10000.0,0.20821044594477423,218563.65827137348,None,2.0
42,51.0,F,2,4422980.737407755,Self-employed,850.0,37933.531460741986,0.0634395816141243,308197.95619413,Insurance,0.0
43,48.0,M,1,6000000.0,Business,735.0,15374.43447173137,0.5,370799.99233064725,Insurance,1.0
44,31.0,F,2,792464.2819223602,Self-employed,709.2250571669007,10000.0,0.10935095878402097,268478.9978513695,None,1.0
45,63.0,F,1,1283908.3383371194,Salaried,713.0,23573.554299286076,0.4400074480938718,495913.2440830911,Stocks,2.0
46,32.0,F,1,1109311.223395198,Salaried,523.7574976520414,14284.91436409213,0.3458792511948625,821213.2159179978,MF_Stocks,2.0
47,35.0,M,2,952512.888309237,Self-employed,757.0,10000.0,0.3508199181655768,95276.13406234462,MF_Stocks,0.0
48,49.0,F,3,5050510.8396962825,Salaried,586.0,10000.0,0.1829891843855719,544314.0422574331,Insurance,0.0
49,42.0,F,1,1593685.6818777253,Salaried,654.0,10000.0,0.4031770494310087,484732.4396263471,Insurance,2.0
50,28.0,M,1,970483.8592592524,Business,666.6534220229446,20349.51164715638,0.5,53531.43946075239,Insurance,2.0
51,35.0,M,1,1751306.3294712703,Self-employed,705.0,10000.0,0.14890816286969805,409747.44080567796,MF_Stocks,2.0
52,44.0,F,2,2328061.0726383664,Salaried,733.0,10000.0,0.325377228290888,110492.23619925388,MF,2.0
53,58.0,O,3,825310.0987298838,Business,765.0,10000.0,0.14106072508507458,920938.6875221179,MF_Stocks,0.0
54,44.0,F,2,2503759.657884498,Business,825.0,11975.46708408538,0.1911722254234047,228314.37774418935,MF,1.0
55,43.0,F,2,507988.99498864927,Salaried,815.2962077608402,20190.836994556998,0.08658215611086113,523021.83235105517,MF_Stocks,2.0
56,42.0,M,2,1095395.0166628747,Salaried,711.1114844707806,10000.0,0.18757198139283618,60832.01914384912,None,3.0
57,47.0,F,1,1638239.2469374146,Salaried,597.3926757665108,21530.69587335869,0.1528744800230624,110052.24312240646,MF_Stocks,1.0
58,44.0,M,2,1155443.3759259058,Business,819.7597075305268,10000.0,0.1550094917188952,58652.96605510644,Insurance,2.0
59,28.0,F,2,1380311.8064878955,Business,722.0,10000.0,0.11960392191048685,49771.82844395146,Stocks,1.0
60,53.086459131288336,O,2,1173765.2532100896,Salaried,729.0,10000.0,0.251573540705945,456283.3885042309,MF_Stocks,2.0
61,42.0,M,1,905328.0347477917,Self-employed,850.0,21908.370696893126,0.27006919754802233,241824.02667050142,Insurance,1.0
62,58.0,M,1,3399074.4660625616,Self-employed,699.0,19778.420731101043,0.199893122860418,258646.49270265934,MF_Stocks,2.0
63,45.0,M,2,4846727.255538347,Salaried,760.0,42731.66609355284,0.3289847766303443,906072.0658358763,MF,2.0
64,45.0,F,3,542958.5805068926,Salaried,664.1326838999651,10000.0,0.32932769927000144,357912.2059462838,MF_Stocks,3.0
65,32.0,F,2,2020374.568706537,Business,756.0,10000.0,0.5,117253.06343648369,MF,0.0
66,38.0,M,2,765717.2580205289,Self-employed,843.8141982966551,24735.23306850078,0.34596137745060873,452445.8212486669,Stocks,1.0
