customerid,age,gender,citytier,annualincome,occupation,creditscore,avgmonthlyspend,savingsrate,investmentamountlastyear,pastinvestments,riskflags
1,38,M,3,1210855,Business,648,10000,0.3159611177478696,85668,Insurance,2
2,58,M,1,5037835,Self-employed,741,33559,0.12847847569105741,420047,None,1
3,48,M,2,4295965,Salaried,585,38025,0.36356272953875357,836720,MF,0
4,44,F,2,2382427,Salaried,654,22917,0.1983766076843331,444530,MF_Stocks,2
5,33,M,2,1150533,Self-employed,819,16502,0.2254839290468291,124965,Stocks,1
6,33,F,3,3518249,Self-employed,766,12987,0.23535270066101643,798288,Insurance,3
7,30,M,3,850192,Business,464,10000,0.27139358697798,51597,MF,0
8,53,F,1,2554363,Self-employed,566,22032,0.16720023458544783,191110,Stocks,1
9,44,F,3,3202072,Salaried,850,28091,0.5,343271,Insurance,1
10,47,F,1,1161381,Salaried,817,10000,0.5,189040,Insurance,1
11,28,F,2,2689085,Self-employed,641,40611,0.5,717310,MF_Stocks,0
12,60,F,1,1083692,Salaried,551,16906,0.24909470395068423,136478,MF,1
13,51,F,1,616283,Salaried,575,15155,0.2506005624110115,120294,MF_Stocks,0
14,34,M,2,2561863,Self-employed,750,79265,0.4324599999849492,1972202,None,0
15,33,M,2,1343026,Salaried,850,34869,0.46009547108863685,68964,Insurance,2
16,34,M,3,2472348,Salaried,850,10000,0.2550419513571456,111173,None,3
17,37,M,3,5237925,Self-employed,542,70406,0.5,1161981,MF,3
18,42,M,3,1175145,Salaried,670,10000,0.2104982996004155,931086,Insurance,2
19,40,M,2,1368851,Self-employed,614,10000,0.1610458039436783,471504,Insurance,0
20,36,M,1,2945904,Self-employed,713,83548,0.1676514566192311,218791,MF_Stocks,0
21,44,M,2,2295149,Salaried,566,33808,0.5,885477,MF,1
22,32,M,2,921506,Salaried,645,10000,0.28799025096140735,90184,Insurance,1
23,36,F,2,815894,Self-employed,613,10000,0.2522002897821351,81392,None,0
24,38,M,2,1070405,Salaried,752,10000,0.08860625689069153,85314,Insurance,1
25,40,F,2,957864,Salaried,648,10000,0.26496088622911884,212940,Stocks,1
26,50,M,2,1849156,Business,662,10000,0.17060549218445636,143,MF_Stocks,1
27,34,F,1,1180600,Self-employed,751,10000,0.5,6162,MF_Stocks,0
28,42,F,1,1437600,Salaried,850,10000,0.07780055646161571,482900,MF,3
29,44,F,1,747652,Salaried,850,10000,0.378336578831022,11388,MF_Stocks,3
30,29,F,1,1025845,Business,745,10000,0.30242126566695693,354887,MF_Stocks,1
31,44,M,3,534509,Self-employed,691,10000,0.05,46486,None,1
32,33,F,1,1216506,Salaried,831,11842,0.5,484059,MF_Stocks,1
33,30,F,3,3397525,Self-employed,816,10000,0.23050257121149784,836756,Stocks,0
34,58,F,2,720208,Salaried,788,10000,0.47254442729425944,266351,MF,2
35,59,F,1,1879183,Salaried,542,10000,0.16611410191134077,289543,Insurance,0
36,51,M,3,1326047,Salaried,820,30508,0.08031513435369575,629496,MF_Stocks,0
37,37,F,2,2360193,Salaried,735,38138,0.2598834747086134,212241,Stocks,2
38,31,M,1,1201891,Self-employed,610,10000,0.5,100034,MF_Stocks,1
39,46,F,3,2367792,Salaried,632,10000,0.17647549611863472,11030,MF,0
40,40,M,1,1240793,Self-employed,758,10000,0.4718687286022938,71991,Insurance,2
41,32,F,1,2449524,Salaried,448,10000,0.183750608172519,247054,Stocks,3
42,41,M,3,2218870,Salaried,687,30333,0.12694041024165145,941875,None,2
43,29,M,3,1091813,Salaried,634,10000,0.05,38232,None,3
44,55,F,1,1444353,Salaried,624,10000,0.18722660424469376,276135,None,2
45,36,F,1,920633,Salaried,654,27420,0.49222047883963077,73961,MF_Stocks,1
46,46,F,3,2047409,Salaried,552,10000,0.10839346639542657,458343,Insurance,3
47,37,M,2,1133580,Self-employed,805,31310,0.35029001090831713,2000000,None,0
48,42,M,1,810054,Self-employed,487,10000,0.08331189954059987,335612,MF_Stocks,2
49,43,F,2,1719122,Self-employed,716,11062,0.1770896729682988,103423,Insurance,0
50,34,F,3,1781710,Self-employed,615,10000,0.1021389457963732,1158604,Insurance,3
51,60,F,1,2683388,Self-employed,850,13330,0.20179445668609539,282727,MF,2
52,49,M,3,1474137,Salaried,702,11699,0.37480162254899235,390407,Insurance,1
53,57,F,2,512471,Business,487,16592,0.2652677854585951,366439,None,1
54,54,M,2,1325146,Salaried,754,10000,0.10305667617926349,642612,MF,5
55,44,M,3,691533,Self-employed,590,10000,0.1590366536626691,104014,Stocks,3
56,56,M,3,2527005,Self-employed,798,10000,0.2300149874950968,79581,None,0
57,31,M,1,400264,Salaried,761,10000,0.2458956790597373,64303,Stocks,2
58,34,F,1,622469,Business,847,10000,0.29794243349797506,156006,None,1
59,29,M,3,1341372,Salaried,718,22652,0.3416211641663599,86201,Stocks,0
60,37,M,2,3682579,Salaried,781,10000,0.33186633281730216,121079,Stocks,0
61,39,M,2,777818,Salaried,704,10000,0.5,653827,None,3
62,36,M,2,1457880,Salaried,641,10000,0.06367704729510709,607777,MF_Stocks,3
63,51,F,3,2709589,Self-employed,806,10000,0.12093854521653855,589589,None,1
64,38,M,3,4306730,Salaried,576,10000,0.5,919808,MF,0
65,36,M,3,2783420,Business,696,36624,0.07650347020314145,977003,None,2
66,43,F,2,2940544,Self-employed,643,34195,0.20307008434591378,1014881,MF,2
67,32,F,1,1854247,Salaried,784,59102,0.5,90835,MF_Stocks,2
68,50,F,2,776348,Salaried,605,10000,0.3278964112835722,73031,None,0
69,30,M,2,1712327,Salaried,659,36064,0.2444168471791674,443624,MF,1
70,61,F,2,2873293,Business,704,10000,0.25802077050229744,1008256,Stocks,1
71,49,F,2,897106,Self-employed,848,10000,0.2572605455000031,11811,Stocks,1
72,34,F,1,795413,Salaried,646,10000,0.30964343422537677,245214,MF,1
73,28,F,2,838428,Salaried,659,10000,0.45142248141745583,3072,Stocks,3
74,51,M,2,2567279,Salaried,565,10000,0.21965657187274565,215445,None,0
75,47,F,3,1792431,Salaried,601,10000,0.4339893704516164,1370839,Stocks,0
76,48,M,2,1304423,Self-employed,741,10000,0.4584806810495896,185581,None,3
77,49,M,1,599810,Self-employed,703,14231,0.4473584434128522,101457,MF,2
78,30,M,2,1325251,Salaried,704,11040,0.30123279610229703,445887,None,0
79,38,M,3,1257580,Business,850,10000,0.2067580207834178,275704,Stocks,2
80,32,F,2,1622759,Salaried,532,10000,0.2465741889690526,146412,None,3
81,53,F,2,824691,Salaried,850,10000,0.11156484505153665,183795,Insurance,1
82,45,F,2,1722122,Self-employed,817,10000,0.29044543997643,337976,Insurance,2
83,37,F,1,891328,Salaried,667,10000,0.40459676398239114,30650,None,1
84,30,M,3,793108,Salaried,739,10000,0.1854921463427811,270488,None,1
85,37,M,1,523068,Salaried,631,10000,0.4440372022605107,122383,Insurance,0
86,37,F,2,719665,Salaried,731,10000,0.4618007835325951,11790,Insurance,0
87,48,F,1,1133531,Salaried,850,10000,0.21368567782823425,44138,MF_Stocks,1
88,45,M,1,1343479,Self-employed,635,10000,0.2490880457372236,47059,MF,1
89,54,F,2,1938160,Salaried,676,18389,0.15239326930302713,35087,MF,2
90,41,M,2,1807606,Salaried,624,31505,0.2808427432873524,106310,Stocks,4
91,32,M,3,1078870,Salaried,640,10000,0.47126121616512245,230050,None,1
92,47,M,3,3526067,Salaried,659,65065,0.06692143155981316,114491,MF,0
93,49,M,3,1450214,Salaried,590,21299,0.09729621532741613,89921,Insurance,2
94,43,F,2,1998387,Business,673,10000,0.4303960297294262,1267890,None,2
95,49,F,2,1443147,Self-employed,705,10000,0.16154536557533852,353337,MF_Stocks,2
96,41,M,2,1882959,Salaried,659,10000,0.12203602880211993,395314,MF_Stocks,1
