symbol,company_name,sector,market_cap,market_cap_class,current_price,beta,volatility_30d,volatility_90d,open,high,low,close,volume,return_1m,return_3m,return_6m,return_1y,return_3y,dividend_yield,risk_bucket,last_updated,ticker,ticker_yf
^NSEI,NIFTY 50,Others,0,Unknown,0.0,1.0,7.72,8.08,25930.05,26007.2,25904.75,25979.2,0,0.27,3.45,5.1,5.56,39.68,0.0,Low,2025-12-15 11:19:40,NIFTY 50,^NSEI
INDIGO.NS,InterGlobe Aviation Limited,Aviation,1929860218880,Large Cap,4992.0,0.772,34.55,25.98,4900.0,5014.0,4864.5,4992.0,2200687,-15.0,-12.84,-5.84,12.01,110.77,21.0,Medium,2025-12-15 11:19:41,INDIGO,INDIGO.NS
TATACONSUM.NS,Tata Consumer Products Limited,FMCG,1154649292800,Large Cap,1166.7,0.363,17.76,18.98,1143.0,1168.9,1140.1,1166.7,268447,-1.03,6.83,8.87,27.58,48.18,72.0,Low,2025-12-15 11:19:42,TATACONSUM,TATACONSUM.NS
ASIANPAINT.NS,Asian Paints Limited,Chemicals,2680602230784,Large Cap,2796.3,0.329,28.33,22.37,2773.1,2798.1,2758.7,2796.3,386704,-3.02,12.89,23.66,18.29,-9.71,91.0,Low,2025-12-15 11:19:42,ASIANPAINT,ASIANPAINT.NS
SHRIRAMFIN.NS,Shriram Finance Limited,Financial Services,1610728210432,Large Cap,856.3,0.495,22.21,25.99,852.0,858.75,845.85,856.15,1494818,4.68,39.36,30.11,33.81,223.41,173.0,Low,2025-12-15 11:19:44,SHRIRAMFIN,SHRIRAMFIN.NS
HINDUNILVR.NS,Hindustan Unilever Limited,FMCG,5355764449280,Large Cap,2279.4,0.323,18.55,17.85,2260.6,2283.0,2252.0,2279.4,373941,-6.0,-10.99,-0.31,-1.0,-9.72,190.0,Low,2025-12-15 11:19:44,HINDUNILVR,HINDUNILVR.NS
NESTLEIND.NS,Nestlé India Limited,FMCG,2401715617792,Large Cap,1245.5,0.252,12.68,19.55,1238.0,1248.0,1225.5,1245.5,222309,-1.95,3.43,5.9,13.19,17.67,162.0,Low,2025-12-15 11:19:45,NESTLEIND,NESTLEIND.NS
ITC.NS,ITC Limited,FMCG,5040321855488,Large Cap,402.3,-0.064,8.68,12.26,400.1,402.7,399.5,402.25,3245842,-1.19,-2.63,-3.63,-9.66,-3.54,392.0,Low,2025-12-15 11:19:46,ITC,ITC.NS
BEL.NS,Bharat Electronics Limited,Defence,2860316360704,Large Cap,391.3,0.247,24.46,23.16,389.05,392.4,388.0,391.3,4927464,-7.83,-2.88,-2.38,26.02,256.84,62.0,Medium,2025-12-15 11:19:47,BEL,BEL.NS
HCLTECH.NS,HCL Technologies Limited,IT,4552988295168,Large Cap,1680.5,0.276,19.84,19.42,1673.2,1684.1,1660.0,1680.5,357694,4.61,14.21,-1.3,-9.91,60.67,287.0,Low,2025-12-15 11:19:48,HCLTECH,HCLTECH.NS
ADANIENT.NS,Adani Enterprises Limited,Others,2956881559552,Large Cap,2287.4,0.579,31.27,27.79,2282.4,2300.0,2273.0,2287.4,265889,-7.09,-4.67,-8.08,-8.61,-8.13,6.0,High,2025-12-15 11:19:49,ADANIENT,ADANIENT.NS
TECHM.NS,Tech Mahindra Limited,IT,1400753487872,Large Cap,1581.4,0.249,19.1,19.58,1571.0,1588.7,1567.7,1581.4,295044,8.85,4.34,-5.32,-9.08,55.49,285.0,Low,2025-12-15 11:19:50,TECHM,TECHM.NS
INFY.NS,Infosys Limited,IT,6476494012416,Large Cap,1600.9,0.326,19.41,22.62,1585.0,1606.4,1585.0,1600.9,1553469,6.19,7.55,-0.88,-17.05,32.41,282.0,Low,2025-12-15 11:19:51,INFY,INFY.NS
TATASTEEL.NS,Tata Steel Limited,Metals,2148275847168,Large Cap,172.25,0.824,22.08,23.14,170.95,172.81,170.5,172.25,9426111,-0.53,0.13,12.88,16.9,75.51,209.0,Medium,2025-12-15 11:19:52,TATASTEEL,TATASTEEL.NS
ETERNAL.NS,Eternal Limited,Infrastructure,2716466413568,Large Cap,298.55,0.315,27.34,24.42,295.0,298.7,295.0,298.55,7618301,-3.55,-7.66,18.4,2.31,369.79,0.0,Medium,2025-12-15 11:19:53,ETERNAL,ETERNAL.NS
TCS.NS,Tata Consultancy Services Limited,IT,11662905049088,Large Cap,3223.5,0.325,14.49,17.95,3211.1,3227.8,3197.3,3223.5,603256,3.91,2.86,-7.65,-25.13,4.65,193.0,Low,2025-12-15 11:19:54,TCS,TCS.NS
LT.NS,Larsen & Toubro Limited,Infrastructure,5608381087744,Large Cap,4077.1,0.383,12.89,13.75,4072.8,4089.3,4063.8,4077.1,343375,1.23,11.16,12.56,6.61,90.18,83.0,Low,2025-12-15 11:19:55,LT,LT.NS
WIPRO.NS,Wipro Limited,IT,2730263838720,Large Cap,260.65,0.58,15.46,19.38,259.99,261.5,258.54,260.65,1774200,6.8,2.61,1.09,-12.31,34.59,422.0,Medium,2025-12-15 11:19:56,WIPRO,WIPRO.NS
TRENT.NS,Trent Limited,Retail,1450978836480,Large Cap,4080.7,0.098,25.63,23.31,4067.0,4081.6,4012.5,4080.7,151376,-7.35,-20.72,-27.47,-41.76,161.91,12.0,Medium,2025-12-15 11:19:57,TRENT,TRENT.NS
AXISBANK.NS,Axis Bank Limited,Banking,3992055971840,Large Cap,1286.0,0.316,11.83,16.42,1285.0,1290.4,1280.0,1286.0,535523,2.91,14.7,5.93,12.35,40.94,8.0,Low,2025-12-15 11:19:57,AXISBANK,AXISBANK.NS
COALINDIA.NS,Coal India Limited,Energy,2362173816832,Large Cap,383.3,1.0,13.48,13.46,384.0,384.5,380.1,383.3,664208,-1.17,-0.53,3.47,0.43,91.98,691.0,Low,2025-12-15 11:19:58,COALINDIA,COALINDIA.NS
SBILIFE.NS,SBI Life Insurance Company Limited,Financial Services,2030336344064,Large Cap,2024.3,0.356,11.84,14.53,2030.1,2033.5,2008.0,2024.3,126563,1.42,11.3,12.45,41.58,64.52,13.0,Low,2025-12-15 11:20:00,SBILIFE,SBILIFE.NS
ICICIBANK.NS,ICICI Bank Limited,Banking,9751300669440,Large Cap,1363.8,0.271,13.77,13.34,1356.1,1369.0,1356.1,1363.8,1784059,-1.1,-4.07,-3.43,3.39,47.24,81.0,Low,2025-12-15 11:20:01,ICICIBANK,ICICIBANK.NS
ULTRACEMCO.NS,UltraTech Cement Limited,Cement,3444608598016,Large Cap,11711.0,0.384,13.6,15.97,11658.0,11804.0,11658.0,11711.0,67584,-0.57,-6.89,3.53,-0.6,51.32,66.0,Low,2025-12-15 11:20:02,ULTRACEMCO,ULTRACEMCO.NS
SBIN.NS,State Bank of India,Banking,8866469249024,Large Cap,960.55,0.312,13.8,14.35,957.25,962.4,957.25,960.55,1057367,-1.32,15.51,21.24,14.78,71.81,165.0,Low,2025-12-15 11:20:03,SBIN,SBIN.NS
CIPLA.NS,Cipla Limited,Pharma,1221107646464,Large Cap,1511.7,0.097,10.63,18.58,1505.0,1515.5,1498.0,1511.7,449686,-1.56,-3.03,1.62,5.7,62.98,86.0,Low,2025-12-15 11:20:04,CIPLA,CIPLA.NS
NTPC.NS,NTPC Limited,Energy,3141235376128,Large Cap,323.9,0.234,10.34,13.9,323.05,324.5,321.55,323.95,2888691,-1.89,-2.49,-1.55,-6.47,100.55,341.0,Low,2025-12-15 11:20:05,NTPC,NTPC.NS
RELIANCE.NS,Reliance Industries Limited,Energy,20982871883776,Large Cap,1550.5,0.309,12.81,15.0,1551.2,1556.0,1546.5,1550.5,1913567,2.12,10.33,8.77,23.26,37.52,35.0,Low,2025-12-15 11:20:06,RELIANCE,RELIANCE.NS
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,Pharma,4283052589056,Large Cap,1785.1,0.25,12.34,15.32,1779.0,1804.6,1777.6,1785.1,438575,1.2,10.84,8.53,-0.2,87.03,89.0,Low,2025-12-15 11:20:06,SUNPHARMA,SUNPHARMA.NS
TITAN.NS,Titan Company Limited,Consumer Durables,3423994642432,Large Cap,3860.0,0.188,14.75,16.44,3861.3,3876.4,3852.2,3860.0,108082,-0.22,8.52,13.68,12.36,38.03,28.0,Low,2025-12-15 11:20:08,TITAN,TITAN.NS
GRASIM.NS,Grasim Industries Limited,Cement,1916791816192,Large Cap,2824.4,0.218,22.64,18.82,2836.7,2849.9,2821.2,2824.4,200814,1.22,-0.65,6.11,6.56,67.17,35.0,Low,2025-12-15 11:20:08,GRASIM,GRASIM.NS
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,Infrastructure,3274139762688,Large Cap,1515.6,0.352,14.93,17.51,1522.8,1522.8,1508.1,1515.6,376515,0.53,7.63,8.86,22.43,108.4,46.0,Medium,2025-12-15 11:20:09,ADANIPORTS,ADANIPORTS.NS
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,Pharma,1015622926336,Large Cap,7063.5,0.157,11.54,19.53,7075.0,7092.5,7015.5,7063.5,64019,-5.66,-10.05,0.94,-2.0,53.89,28.0,Low,2025-12-15 11:20:10,APOLLOHOSP,APOLLOHOSP.NS
MARUTI.NS,Maruti Suzuki India Limited,Automobile,5165634027520,Large Cap,16430.0,0.233,15.14,21.27,16500.0,16500.0,16360.0,16434.0,57908,3.5,5.53,31.89,48.75,80.69,82.0,Low,2025-12-15 11:20:11,MARUTI,MARUTI.NS
KOTAKBANK.NS,Kotak Mahindra Bank Limited,Banking,4302468022272,Large Cap,2163.4,0.189,12.18,16.35,2167.1,2176.6,2156.5,2163.4,585735,2.88,7.01,1.36,22.46,7.73,11.0,Low,2025-12-15 11:20:12,KOTAKBANK,KOTAKBANK.NS
HDFCBANK.NS,HDFC Bank Limited,Banking,15307096719360,Large Cap,995.1,0.447,11.22,11.3,992.0,1001.8,992.0,995.1,4407931,-0.15,2.92,4.53,8.49,26.93,110.0,Low,2025-12-15 11:20:13,HDFCBANK,HDFCBANK.NS
BAJFINANCE.NS,Bajaj Finance Limited,Financial Services,6282879696896,Large Cap,1010.9,0.199,30.95,26.44,1015.0,1015.0,1008.0,1010.9,1116654,-1.55,0.76,9.52,42.74,46.87,43.0,Low,2025-12-15 11:20:14,BAJFINANCE,BAJFINANCE.NS
HINDALCO.NS,Hindalco Industries Limited,Metals,1892706025472,Large Cap,846.8,0.871,25.36,22.59,851.95,856.25,845.3,846.8,1202953,4.91,12.02,32.93,27.56,112.74,59.0,Low,2025-12-15 11:20:15,HINDALCO,HINDALCO.NS
DRREDDY.NS,Dr. Reddy's Laboratories Limited,Pharma,1058929508352,Large Cap,1271.9,0.345,12.17,18.63,1274.9,1274.9,1264.1,1271.9,253197,2.21,-2.94,-2.94,2.78,44.15,63.0,Low,2025-12-15 11:20:16,DRREDDY,DRREDDY.NS
POWERGRID.NS,Power Grid Corporation of India Limited,Energy,2434898067456,Large Cap,261.8,0.187,16.01,17.06,263.6,263.85,260.5,261.8,2553908,-4.3,-7.68,-7.35,-17.84,66.68,512.0,Low,2025-12-15 11:20:18,POWERGRID,POWERGRID.NS
BHARTIARTL.NS,Bharti Airtel Limited,Telecom,12606099161088,Large Cap,2069.6,0.106,19.75,17.37,2070.1,2077.3,2061.5,2069.6,937753,-2.02,6.71,12.51,29.58,148.05,77.0,Low,2025-12-15 11:20:19,BHARTIARTL,BHARTIARTL.NS
