customer_id,age,gender,citytier,annualincome,occupation,creditscore,avgmonthlyspend,savingsrate,investmentamountlastyear,pastinvestments,riskflags,transactionvolatility,spendingstabilityindex,creditutilizationratio,debttoincomeratio,missedpaymentcount,digitalactivityscore,portfoliodiversityscore,risk_score,risk_label,gender_encoded,occupation_encoded,pastinvestments_encoded
1,40.0,M,3,1874220.7100496544,Self-employed,770.5762038465326,10000.0,0.5,337563.0236237909,Stocks,4.0,0.0035760292750854,0.4999470924205823,0.1009099193150634,0.1154166374339272,0,69.66989494689072,22.33008871389488,0.7668615631143094,low,1,2,3
2,53.0,M,2,651830.1567057513,Self-employed,838.8869725034396,10000.0,0.05,45865.4425531735,MF_Stocks,3.0,0.0818933780680113,0.8994986920951749,-0.0010635678033011,0.4449010788348242,0,46.262382155643024,89.17236804178148,0.738726124912659,low,1,2,2
3,45.0,M,3,385175.0642054009,Salaried,699.1742191428841,10000.0,0.5,125753.82692714607,,1.0,0.0663799356877812,0.6389714848109758,0.1233057798105102,0.3340400658579553,1,53.98521131638756,44.97506705346372,0.6553278405606899,medium,1,1,5
4,54.47772226654097,F,1,3262552.247487906,Salaried,705.0,10000.0,0.1995779664902262,2000000.0,MF_Stocks,1.0,-0.0033858545175861,0.6087114846778767,0.0632818023448604,0.0502271138223723,1,63.34127861439997,80.40210769091247,0.7696384401503595,low,0,1,2
5,33.0,F,2,969375.6463843812,Salaried,721.0,10000.0,0.4315414357734993,787377.9413682483,MF_Stocks,4.0,0.0235623194449051,0.5144781442650173,0.0927584718425342,0.1123064109660078,3,43.90781098264,61.74140630252783,0.5962869217098747,medium,0,1,2
6,54.0,F,2,2590683.439922241,Self-employed,691.0,42725.103309576,0.5,352222.0085224931,Insurance,2.0,0.1544170194766874,0.9378853046465878,0.0464955428418874,0.4276995499455203,1,72.74710467653775,87.46793985780903,0.7382956774961595,low,0,2,0
7,33.655562176203546,F,2,560202.0407642679,Salaried,782.0,10000.0,0.5,213956.1059279436,MF_Stocks,3.0,0.4414318368720462,0.804585195035643,0.0713582903755892,0.1870866011650736,0,94.0694124965958,43.17287478151872,0.7518091868449056,low,0,1,2
8,45.0,F,1,1773440.7651759533,Self-employed,827.0,10000.0,0.4757776154772735,533589.5302097751,,1.0,-0.0083228984579467,0.709201976730466,0.1765768926980888,0.4742388336527046,0,45.79613747725246,73.76598586192193,0.7807400657679631,low,0,2,5
9,47.0,F,2,1048383.7694625448,Self-employed,631.2548326668693,10000.0,0.2854162356666753,332353.1494764348,MF,1.0,0.0825498072382952,0.8503866066534858,0.0239368621191724,0.4036506718459358,0,69.52789230614657,42.15927910768612,0.7037676181364702,medium,0,2,1
10,41.0,M,2,5023031.86709289,Business,756.0,17624.824319047653,0.0757275759844033,248665.75313479343,MF,1.0,0.0186204750573438,0.7872602327152589,0.0361695217388372,0.4120317485902404,1,78.83686443379814,64.22950579658668,0.751953215294804,low,1,0,1
11,35.0,M,3,2940176.090453733,Salaried,678.0,10000.0,0.4262196813648612,259939.0422380619,Stocks,1.0,0.1401422317021514,1.0486901159900752,0.0274106824173829,0.4542617487304081,0,97.8986431693862,44.85005740839125,0.7832673972533686,low,1,1,3
12,53.0,M,1,1193646.8349165565,Salaried,563.1933755134239,10000.0,0.2484148904586884,870.6551265496408,Insurance,3.0,0.2284634172211654,0.7381933303018244,0.0097217501112825,0.3620688160991824,0,96.82650784224155,69.45769571891267,0.6760936512788528,medium,1,1,0
13,31.0,M,2,2306240.728726486,Business,783.8347708858296,10000.0,0.5,588770.3291073145,Stocks,2.0,0.0825424438513034,0.4778741814885029,0.0728726928692668,0.2807959233707496,1,66.96460942163353,48.85885822860606,0.7280515729119746,low,1,0,3
