customer_id,age,gender,citytier,annualincome,occupation,creditscore,avgmonthlyspend,savingsrate,investmentamountlastyear,pastinvestments
USER_0001,37,F,1,1778539,Business,635,89453,0.27,176435,Mutual_Funds
USER_0002,51,F,3,234703,Self-employed,751,12742,0.26,24509,Real_Estate
USER_0003,61,M,3,655766,Business,706,35276,0.37,76203,None
USER_0004,57,F,2,1072417,Self-employed,795,71681,0.32,156352,Real_Estate
USER_0005,52,F,1,1563963,Salaried,623,77719,0.08,181044,None
USER_0006,53,M,2,586927,Business,589,36660,0.27,44791,Stocks
USER_0007,64,M,2,346082,Self-employed,739,15484,0.21,48791,Mutual_Funds
USER_0008,56,F,3,547541,Business,589,38277,0.18,14374,Stocks_Mutual_Funds
USER_0009,39,M,2,1013507,Business,650,54852,0.25,71164,Real_Estate
USER_0010,52,M,2,938931,Salaried,647,48126,0.18,80776,Stocks_Insurance
USER_0011,48,M,3,708300,Retired,715,38400,0.15,79752,Stocks_Mutual_Funds
USER_0012,22,F,3,504974,Business,666,24790,0.29,26551,Stocks_Mutual_Funds
USER_0013,55,F,1,843647,Business,714,35200,0.34,45041,Insurance
USER_0014,44,M,2,1146137,Self-employed,696,68201,0.14,113251,None
USER_0015,24,F,1,1734071,Business,677,84969,0.11,18,None
USER_0016,51,M,2,676925,Self-employed,730,39257,0.22,70037,Real_Estate
USER_0017,59,M,1,1322659,Salaried,569,71314,0.11,188907,Stocks
USER_0018,40,M,3,269308,Business,765,11541,0.1,12642,Stocks
USER_0019,63,M,3,776991,Self-employed,648,45630,0.09,72940,Stocks_Insurance
USER_0020,38,M,3,576695,Salaried,720,40770,0.1,63617,Mutual_Funds
USER_0021,60,M,3,422616,Business,656,21530,0.1,27510,Stocks_Insurance
USER_0022,38,M,3,744479,Self-employed,559,48456,0.39,63425,Mutual_Funds
USER_0023,39,F,1,1653078,Retired,588,112528,0.2,132899,Stocks_Insurance
USER_0024,53,M,1,1747848,Salaried,636,82623,0.11,122738,Stocks
USER_0025,30,F,3,623861,Retired,815,27198,0.28,65607,None
USER_0026,24,F,2,734182,Self-employed,727,38446,0.15,49170,Real_Estate
USER_0027,39,F,2,494976,Self-employed,630,27706,0.36,63606,Stocks_Insurance
USER_0028,57,F,2,757699,Self-employed,616,36671,0.15,44939,None
USER_0029,36,M,2,1098843,Retired,614,48870,0.06,93266,Stocks
USER_0030,43,F,2,1194394,Business,789,72818,0.1,63760,Mutual_Funds
USER_0031,43,M,3,472179,Salaried,718,22538,0.2,31096,Real_Estate
USER_0032,22,F,2,1034881,Salaried,596,60281,0.34,16588,None
USER_0033,30,F,3,413095,Self-employed,741,20138,0.13,7291,None
USER_0034,24,M,3,769530,Self-employed,606,53237,0.35,36831,Insurance
USER_0035,35,M,3,449576,Salaried,637,23318,0.24,9853,Stocks_Mutual_Funds
USER_0036,54,M,3,657113,Business,703,41659,0.2,67307,Mutual_Funds
USER_0037,29,F,3,362090,Retired,575,18240,0.34,15702,Real_Estate
USER_0038,40,M,3,320807,Business,702,16402,0.39,46271,Mutual_Funds
USER_0039,25,F,1,857220,Retired,627,59550,0.37,106909,Stocks_Mutual_Funds
USER_0040,45,F,3,328527,Self-employed,778,18096,0.28,26219,None
USER_0041,55,M,2,568386,Business,749,39920,0.35,30051,Stocks_Mutual_Funds
USER_0042,51,M,3,441804,Business,602,26323,0.3,30922,None
USER_0043,54,M,3,212303,Retired,608,13606,0.16,15226,None
USER_0044,32,F,1,1303858,Self-employed,779,61586,0.25,122125,None
USER_0045,29,F,1,962281,Self-employed,652,58345,0.39,120612,Stocks_Mutual_Funds
USER_0046,61,F,1,1461868,Business,792,95053,0.08,164985,Mutual_Funds
USER_0047,35,F,3,726389,Retired,739,41337,0.32,7053,Stocks_Insurance
USER_0048,43,F,3,763352,Business,695,48376,0.16,60812,Insurance
USER_0049,53,F,1,2233540,Self-employed,729,121091,0.29,12397,None
USER_0050,64,M,1,872252,Business,575,37660,0.35,104210,Real_Estate
